0,1,2,3,4,5,6,7
125.0,80.0,89.0,83.0,31.0,0.0,8.0,4.0
92.0,71.0,61.0,74.0,7.0,0.0,10.0,4.0
138.0,51.0,32.0,53.0,17.0,0.0,31.0,6.0
170.0,55.0,58.0,72.0,11.0,0.0,11.0,15.0
144.0,65.0,23.0,80.0,14.0,63.0,11.0,6.0
141.0,92.0,66.0,58.0,19.0,0.0,8.0,24.0
148.0,67.0,83.0,76.0,48.0,0.0,8.0,3.0
100.0,67.0,26.0,71.0,37.0,0.0,11.0,4.0
130.0,85.0,22.0,62.0,12.0,0.0,28.0,9.0
170.0,81.0,56.0,48.0,21.0,0.0,8.0,33.0
83.0,57.0,56.0,72.0,23.0,0.0,27.0,5.0
150.0,78.0,52.0,82.0,18.0,0.0,15.0,7.0
118.0,71.0,65.0,68.0,6.0,0.0,3.0,7.0
130.0,51.0,32.0,43.0,83.0,0.0,9.0,3.0
174.0,52.0,66.0,73.0,34.0,0.0,31.0,6.0
89.0,64.0,43.0,73.0,5.0,17.0,16.0,4.0
120.0,78.0,76.0,59.0,43.0,0.0,34.0,3.0
78.0,44.0,14.0,9.0,96.0,0.0,10.0,3.0
100.0,86.0,67.0,66.0,14.0,0.0,12.0,16.0
120.0,63.0,36.0,73.0,0.0,0.0,36.0,4.0
140.0,65.0,87.0,74.0,22.0,0.0,42.0,4.0
123.0,69.0,82.0,76.0,6.0,0.0,6.0,3.0
135.0,48.0,44.0,42.0,12.0,2.0,11.0,3.0
133.0,85.0,81.0,67.0,26.0,0.0,12.0,5.0
99.0,85.0,83.0,68.0,7.0,0.0,36.0,20.0
130.0,79.0,96.0,86.0,9.0,0.0,9.0,9.0
107.0,80.0,82.0,80.0,43.0,0.0,14.0,4.0
122.0,81.0,74.0,71.0,14.0,0.0,56.0,4.0
204.0,52.0,52.0,68.0,46.0,0.0,15.0,4.0
110.0,67.0,78.0,85.0,2.0,0.0,33.0,5.0
126.0,74.0,35.0,84.0,0.0,0.0,11.0,6.0
168.0,56.0,63.0,87.0,39.0,0.0,11.0,5.0
98.0,71.0,17.0,61.0,36.0,0.0,8.0,5.0
97.0,64.0,51.0,63.0,12.0,0.0,19.0,5.0
180.0,72.0,61.0,63.0,67.0,0.0,9.0,28.0
120.0,81.0,63.0,68.0,11.0,0.0,11.0,4.0
150.0,61.0,39.0,73.0,37.0,0.0,11.0,3.0
96.0,75.0,57.0,68.0,9.0,0.0,13.0,6.0
95.0,60.0,48.0,79.0,0.0,0.0,12.0,4.0
125.0,79.0,96.0,85.0,27.0,0.0,11.0,6.0
144.0,56.0,84.0,65.0,23.0,0.0,10.0,6.0
90.0,76.0,91.0,50.0,54.0,0.0,7.0,5.0
128.0,56.0,38.0,97.0,4.0,0.0,35.0,4.0
79.0,56.0,58.0,56.0,37.0,0.0,11.0,10.0
144.0,77.0,75.0,58.0,52.0,0.0,23.0,25.0
122.0,67.0,49.0,64.0,10.0,0.0,10.0,3.0
140.0,71.0,82.0,81.0,11.0,0.0,6.0,5.0
134.0,59.0,51.0,52.0,9.0,0.0,15.0,7.0
186.0,68.0,49.0,59.0,16.0,0.0,13.0,28.0
67.0,53.0,50.0,53.0,23.0,0.0,44.0,7.0
106.0,72.0,17.0,64.0,7.0,0.0,10.0,5.0
128.0,60.0,23.0,91.0,0.0,0.0,12.0,3.0
107.0,92.0,55.0,70.0,18.0,0.0,15.0,7.0
130.0,67.0,96.0,88.0,12.0,19.0,8.0,4.0
123.0,45.0,13.0,54.0,70.0,0.0,9.0,4.0
171.0,50.0,38.0,80.0,0.0,0.0,9.0,7.0
137.0,64.0,88.0,72.0,51.0,0.0,17.0,5.0
125.0,84.0,85.0,68.0,58.0,0.0,22.0,4.0
128.0,86.0,42.0,72.0,59.0,0.0,9.0,19.0
130.0,61.0,53.0,58.0,55.0,0.0,27.0,4.0
130.0,86.0,59.0,96.0,50.0,1.0,9.0,5.0
133.0,70.0,86.0,81.0,25.0,0.0,25.0,5.0
101.0,88.0,72.0,59.0,62.0,0.0,9.0,3.0
95.0,77.0,53.0,64.0,74.0,0.0,17.0,14.0
98.0,90.0,40.0,59.0,0.0,0.0,10.0,29.0
173.0,43.0,28.0,66.0,0.0,0.0,23.0,3.0
90.0,64.0,10.0,62.0,7.0,0.0,48.0,7.0
198.0,59.0,71.0,42.0,55.0,0.0,10.0,7.0
140.0,56.0,48.0,73.0,0.0,0.0,35.0,4.0
82.0,51.0,22.0,53.0,1.0,0.0,15.0,3.0
130.0,77.0,84.0,89.0,17.0,0.0,43.0,5.0
81.0,76.0,53.0,53.0,44.0,0.0,9.0,9.0
94.0,51.0,14.0,59.0,65.0,18.0,25.0,3.0
124.0,61.0,41.0,81.0,5.0,2.0,10.0,3.0
128.0,62.0,55.0,78.0,1.0,3.0,23.0,4.0
138.0,49.0,42.0,62.0,9.0,0.0,11.0,3.0
132.0,58.0,27.0,48.0,50.0,0.0,12.0,3.0
131.0,71.0,24.0,47.0,1.0,0.0,27.0,9.0
168.0,78.0,58.0,73.0,5.0,0.0,10.0,7.0
98.0,68.0,40.0,79.0,33.0,0.0,30.0,6.0
102.0,48.0,50.0,73.0,43.0,0.0,15.0,4.0
101.0,34.0,32.0,57.0,78.0,0.0,20.0,3.0
130.0,63.0,36.0,34.0,76.0,0.0,35.0,9.0
142.0,50.0,20.0,64.0,1.0,0.0,12.0,3.0
170.0,59.0,48.0,76.0,4.0,0.0,10.0,5.0
124.0,78.0,70.0,68.0,3.0,1.0,11.0,4.0
