node_id	index	node_type	node_name
song_Seven_(feat._Latto)_(Explicit_Ver.)_Latto,_Jung_Kook	0	song	Seven (feat. Latto) (Explicit Ver.)
song_LALA_Myke_Towers	1	song	LALA
song_vampire_Olivia_Rodrigo	2	song	vampire
song_Cruel_Summer_Taylor_Swift	3	song	Cruel Summer
song_WHERE_SHE_GOES_Bad_Bunny	4	song	WHERE SHE GOES
song_Sprinter_Dave,_Central_Cee	5	song	Sprinter
song_Ella_Baila_Sola_Eslabon_Armado,_Peso_Pluma	6	song	Ella Baila Sola
song_Columbia_Quevedo	7	song	Columbia
song_fukumean_Gunna	8	song	fukumean
song_La_Bebe_-_Remix_Peso_Pluma,_Yng_Lvcas	9	song	La Bebe - Remix
song_un_x100to_Bad_Bunny,_Grupo_Frontera	10	song	un x100to
song_Super_Shy_NewJeans	11	song	Super Shy
song_Flowers_Miley_Cyrus	12	song	Flowers
song_Daylight_David_Kushner	13	song	Daylight
song_As_It_Was_Harry_Styles	14	song	As It Was
song_Kill_Bill_SZA	15	song	Kill Bill
song_Cupid_-_Twin_Ver._Fifty_Fifty	16	song	Cupid - Twin Ver.
song_What_Was_I_Made_For?_[From_The_Motion_Picture_"Barbie"]_Billie_Eilish	17	song	What Was I Made For? [From The Motion Picture "Barbie"]
song_Classy_101_Feid,_Young_Miko	18	song	Classy 101
song_Like_Crazy_Jimin	19	song	Like Crazy
song_LADY_GAGA_Gabito_Ballesteros,_Junior_H,_Peso_Pluma	20	song	LADY GAGA
song_I_Can_See_You_(Taylorï¿½ï¿½ï¿½s_Version)_(From_The__Taylor_Swift	21	song	I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The 
song_I_Wanna_Be_Yours_Arctic_Monkeys	22	song	I Wanna Be Yours
song_Peso_Pluma:_Bzrp_Music_Sessions,_Vol._55_Bizarrap,_Peso_Pluma	23	song	Peso Pluma: Bzrp Music Sessions, Vol. 55
song_Popular_(with_Playboi_Carti_&_Madonna)_-_The_Idol_Vol._1_(Music_from_the_HBO_Original_Series)_The_Weeknd,_Madonna,_Playboi_Carti	24	song	Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)
song_SABOR_FRESA_Fuerza_Regida	25	song	SABOR FRESA
song_Calm_Down_(with_Selena_Gomez)_Rï¿½ï¿½ma,_Selena_G	26	song	Calm Down (with Selena Gomez)
song_MOJABI_GHOST_Tainy,_Bad_Bunny	27	song	MOJABI GHOST
song_Last_Night_Morgan_Wallen	28	song	Last Night
song_Dance_The_Night_(From_Barbie_The_Album)_Dua_Lipa	29	song	Dance The Night (From Barbie The Album)
song_Rush_Troye_Sivan	30	song	Rush
song_TULUM_Peso_Pluma,_Grupo_Frontera	31	song	TULUM
song_Creepin'_The_Weeknd,_21_Savage,_Metro_Boomin	32	song	Creepin'
song_Anti-Hero_Taylor_Swift	33	song	Anti-Hero
song_TQG_Karol_G,_Shakira	34	song	TQG
song_Los_del_Espacio_Big_One,_Duki,_Lit_Killah,_Maria_Becerra,_FMK,_Rusherking,_Emilia,_Tiago_pzk	35	song	Los del Espacio
song_Frï¿½ï¿½gil_(feat._Grupo_Front_Yahritza_Y_Su_Esencia,_Grupo_Frontera	36	song	Frï¿½ï¿½gil (feat. Grupo Front
song_Blank_Space_Taylor_Swift	37	song	Blank Space
song_Style_Taylor_Swift	38	song	Style
song_TQM_Fuerza_Regida	39	song	TQM
song_El_Azul_Junior_H,_Peso_Pluma	40	song	El Azul
song_Sunflower_-_Spider-Man:_Into_the_Spider-Verse_Post_Malone,_Swae_Lee	41	song	Sunflower - Spider-Man: Into the Spider-Verse
song_I'm_Good_(Blue)_Bebe_Rexha,_David_Guetta	42	song	I'm Good (Blue)
song_See_You_Again_Tyler,_The_Creator,_Kali_Uchis	43	song	See You Again
song_Barbie_World_(with_Aqua)_[From_Barbie_The_Album]_Nicki_Minaj,_Aqua,_Ice_Spice	44	song	Barbie World (with Aqua) [From Barbie The Album]
song_Angels_Like_You_Miley_Cyrus	45	song	Angels Like You
song_I_Ain't_Worried_OneRepublic	46	song	I Ain't Worried
song_Die_For_You_The_Weeknd	47	song	Die For You
song_Starboy_The_Weeknd,_Daft_Punk	48	song	Starboy
song_Die_For_You_-_Remix_Ariana_Grande,_The_Weeknd	49	song	Die For You - Remix
song_El_Cielo_Feid,_Myke_Towers,_Sky_Rompiendo	50	song	El Cielo
song_Baby_Don't_Hurt_Me_David_Guetta,_Anne-Marie,_Coi_Leray	51	song	Baby Don't Hurt Me
song_AMARGURA_Karol_G	52	song	AMARGURA
song_(It_Goes_Like)_Nanana_-_Edit_Peggy_Gou	53	song	(It Goes Like) Nanana - Edit
song_Another_Love_Tom_Odell	54	song	Another Love
song_Blinding_Lights_The_Weeknd	55	song	Blinding Lights
song_Moonlight_Kali_Uchis	56	song	Moonlight
song_La_Bachata_Manuel_Turizo	57	song	La Bachata
song_S91_Karol_G	58	song	S91
song_cardigan_Taylor_Swift	59	song	cardigan
song_Tï¿½ï¿_dennis,_MC_Kevin_o_Chris	60	song	Tï¿½ï¿
song_Boy's_a_liar_Pt._2_PinkPantheress,_Ice_Spice	61	song	Boy's a liar Pt. 2
song_Left_and_Right_(Feat._Jung_Kook_of_BTS)_Charlie_Puth,_BTS,_Jung_Kook	62	song	Left and Right (Feat. Jung Kook of BTS)
song_BESO_Rauw_Alejandro,_ROSALï¿½	63	song	BESO
song_Hey_Mor_Ozuna,_Feid	64	song	Hey Mor
song_Yellow_Chris_Molitor	65	song	Yellow
song_Karma_Taylor_Swift	66	song	Karma
song_People_Libianca	67	song	People
song_Overdrive_Post_Malone	68	song	Overdrive
song_Enchanted_(Taylor's_Version)_Taylor_Swift	69	song	Enchanted (Taylor's Version)
song_BABY_HELLO_Rauw_Alejandro,_Bizarrap	70	song	BABY HELLO
song_Heat_Waves_Glass_Animals	71	song	Heat Waves
song_golden_hour_JVKE	72	song	golden hour
song_Sweater_Weather_The_Neighbourhood	73	song	Sweater Weather
song_Quevedo:_Bzrp_Music_Sessions,_Vol._52_Bizarrap,_Quevedo	74	song	Quevedo: Bzrp Music Sessions, Vol. 52
song_Viva_La_Vida_Coldplay	75	song	Viva La Vida
song_Here_With_Me_d4vd	76	song	Here With Me
song_Unholy_(feat._Kim_Petras)_Sam_Smith,_Kim_Petras	77	song	Unholy (feat. Kim Petras)
song_Yandel_150_Yandel,_Feid	78	song	Yandel 150
song_CORAZï¿½ï¿½N_VA_Maria_Becerra	79	song	CORAZï¿½ï¿½N VA
song_Riptide_Vance_Joy	80	song	Riptide
